"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","8.915056","0","13"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","493.553711","0","28"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","9.274171","0","13"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","243.924438","0","112"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.274563","0","2"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","23","25","1","22.157614","0","25"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","95.654640","0","92"
"/Game/CR/LQ/AMT_Materials/M_Master/M_MasterMetal.M_MasterMetal","0","6","6","1","6.820674","0","6"
"/Game/RadicalMike/Materials/Body/M_MasterMaterial.M_MasterMaterial","0","28","32","1","39.621014","0","32"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","3.068366","0","5"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","72.443459","0","63"
"/Game/RadicalMike/Materials/Lens/M_Glass_parent.M_Glass_parent","0","16","16","1","102.049271","0","16"
"/Game/CR/LQ/AMT_Materials/M_Master/M_Master.M_Master","0","12","12","1","9.014935","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","23","25","1","25.227451","0","25"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","4.282185","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","36.401928","0","33"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","2.716147","0","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","11.053005","0","10"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","7.518691","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","1.619434","0","5"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","18.771284","0","16"
"/Game/LowPoly_Castle/Castle_Materials/M_MainWindow.M_MainWindow","0","3","3","1","3.683536","0","3"
